Application Name,Over-Privileged,Critical Permissions,Direct Access via Secret Permissions Counts,Indirect Access via Secret Manipulation Counts,Indirect Access via Resource Scheduling Control Counts,Indirect Access via Node Manipulation Counts
hub,N/A,,0,0,0,0
arena,True,*::deployments::apps::whole; *::deployments::core::whole; *::jobs::batch::whole; *::pods::::whole; *::pods::core::whole; *::replicasets::apps::whole; *::replicasets::core::whole; *::statefulsets::apps::whole; *::statefulsets::core::whole; create::deployments::::whole; create::deployments::apps::whole; create::jobs::batch::whole; create::pods::::whole; create::replicasets::::whole; create::replicasets::apps::whole; create::statefulsets::::whole; create::statefulsets::apps::whole; get::secrets::::whole; list::secrets::::whole; patch::deployments::::whole; patch::deployments::apps::whole; patch::pods::::whole; patch::replicasets::::whole; patch::replicasets::apps::whole; patch::secrets::::whole; patch::statefulsets::::whole; patch::statefulsets::apps::whole; update::deployments::::whole; update::deployments::apps::whole; update::jobs::batch::whole; update::pods::::whole; update::replicasets::::whole; update::replicasets::apps::whole; update::secrets::::whole; update::statefulsets::::whole; update::statefulsets::apps::whole; watch::secrets::::whole,8,5,59,0
camunda,N/A,,0,0,0,0
kubeskoop,True,create::pods::core::whole,0,0,1,0
DescomplicandoHelm,N/A,,0,0,0,0
bevel,True,get::secrets::core::whole; list::secrets::core::whole; patch::secrets::core::whole; update::secrets::core::whole,52,52,0,0
freechat,N/A,,0,0,0,0
mysql-operator,True,create::jobs::::whole; create::jobs::batch::whole; create::pods::::whole; create::statefulsets::apps::whole; get::secrets::::whole; list::secrets::::whole; patch::jobs::::whole; patch::jobs::batch::whole; patch::pods::::whole; patch::secrets::::whole; patch::statefulsets::apps::whole; update::jobs::::whole; update::jobs::batch::whole; update::pods::::whole; update::secrets::::whole; update::statefulsets::apps::whole; watch::secrets::::whole,6,4,24,0
function-mesh,True,create::jobs::batch::whole; create::pods::::whole; create::statefulsets::apps::whole; get::secrets::::whole; list::secrets::::whole; patch::pods::::whole; patch::secrets::::whole; patch::statefulsets::apps::whole; update::jobs::batch::whole; update::pods::::whole; update::secrets::::whole; update::statefulsets::apps::whole; watch::secrets::::whole,9,6,22,0
kstone,True,*::deployments::apps::whole; *::pods::::whole; *::secrets::::whole; *::statefulsets::apps::whole; get::secrets::::whole; get::secrets::core::whole,3,0,3,0
